mid-case,lowREcost,highREcost,95decarb2035,electrification
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
231.2,190.8,191.5,111.5,232.5
232.2,191.6,190.8,111.9,231.6
230.3,192.5,192.6,111.5,233.7
231.4,195.8,191.9,113.5,233.2
233.3,197.3,193.9,115.3,237.3
233.4,196.5,196.8,114.4,241.5
221.0,184.9,195.2,108.9,224.6
194.8,160.0,171.6,95.9,189.6
184.7,154.2,164.9,93.7,180.6
183.6,154.5,164.2,93.7,181.1
185.4,154.5,165.7,93.3,180.7
184.5,154.4,164.1,93.8,179.9
182.1,150.3,165.1,92.0,179.2
184.6,156.7,164.7,93.3,183.4
213.7,186.5,182.1,102.7,219.6
242.6,204.0,204.8,114.9,248.7
247.1,205.5,213.1,116.1,256.2
250.5,209.8,216.7,119.4,259.8
247.1,206.3,210.4,118.2,254.0
244.5,204.9,207.9,116.3,250.7
243.6,203.1,204.3,115.3,247.8
240.6,199.4,201.7,114.2,244.4
234.9,189.8,199.6,112.6,239.5
233.3,191.1,191.7,111.3,236.4
